review_id,user_id,movie_id,rating,comment,created_at
91,,,1,Duis bibendum. Morbi non quam nec dui luctus rutrum.,8/11/24
92,,,5,Duis aliquam convallis nunc.,1/5/25
93,,,4,Phasellus id sapien in sapien iaculis congue.,8/10/24
94,,,4,In eleifend quam a odio. In hac habitasse platea dictumst.,7/5/25
95,,,1,Pellentesque eget nunc.,6/29/24
96,,,4,Duis bibendum.,2/14/25
97,,,2,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,9/6/24
98,,,5,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,7/29/25
99,,,1,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",3/21/25
100,,,2,Fusce consequat. Nulla nisl. Nunc nisl.,9/16/24
101,,,2,Duis mattis egestas metus.,10/24/24
102,,,4,In eleifend quam a odio.,12/22/24
103,,,5,Proin risus. Praesent lectus.,10/18/24
104,,,1,Nulla ut erat id mauris vulputate elementum. Nullam varius.,4/10/25
105,,,2,Donec posuere metus vitae ipsum. Aliquam non mauris.,6/10/25
106,,,4,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",8/6/24
107,,,3,Phasellus in felis.,4/24/25
108,,,4,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",6/18/25
109,,,4,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.,1/11/25
110,,,4,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",9/10/24
111,,,3,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1/23/25
112,,,2,In hac habitasse platea dictumst.,12/24/24
113,,,1,Vivamus in felis eu sapien cursus vestibulum.,5/30/24
114,,,4,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",6/9/24
115,,,4,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,7/5/24
116,,,5,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",2/18/25
117,,,2,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",6/28/24
118,,,1,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",11/18/24
119,,,2,Vivamus tortor.,6/22/25
120,,,2,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.",7/16/25
121,,,3,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",8/11/25
122,,,3,Nulla nisl.,5/30/24
123,,,5,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",2/5/25
124,,,3,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",5/11/25
125,,,5,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",4/3/25
126,,,4,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",5/28/24
127,,,2,Nam tristique tortor eu pede.,11/14/24
128,,,5,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,7/19/24
129,,,2,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",4/28/25
130,,,4,Duis consequat dui nec nisi volutpat eleifend.,12/24/24
131,,,1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",5/16/25
132,,,2,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,6/28/25
133,,,1,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,7/7/24
134,,,4,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",7/14/25
135,,,2,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",8/18/24
136,,,2,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,8/15/24
137,,,4,Maecenas tincidunt lacus at velit.,4/13/25
138,,,2,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",1/17/25
139,,,5,Phasellus sit amet erat. Nulla tempus.,12/23/24
140,,,3,Morbi ut odio.,5/24/25
141,,,3,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,7/17/24
142,,,1,Nunc purus.,9/10/24
143,,,2,Nulla ut erat id mauris vulputate elementum. Nullam varius.,6/22/25
144,,,5,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",3/2/25
145,,,5,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,1/13/25
146,,,3,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",1/21/25
147,,,1,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,6/27/25
148,,,5,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",6/12/25
149,,,3,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,8/6/25
150,,,4,Sed ante.,2/23/25
151,,,5,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",10/1/24
152,,,1,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",8/16/24
153,,,1,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",2/10/25
154,,,3,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",6/3/24
155,,,2,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",8/15/25
156,,,3,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,2/25/25
157,,,3,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.,5/3/25
158,,,2,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",7/10/24
159,,,2,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",7/14/24
160,,,1,Pellentesque viverra pede ac diam.,6/30/24
161,,,3,Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.,2/16/25
162,,,5,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",6/17/24
163,,,4,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",7/11/24
164,,,5,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,2/13/25
165,,,5,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2/23/25
166,,,4,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",12/6/24
167,,,1,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",7/16/24
168,,,2,In hac habitasse platea dictumst.,6/20/24
169,,,5,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1/18/25
170,,,5,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,7/28/24
171,,,3,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",1/3/25
172,,,4,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,5/29/25
173,,,3,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",2/5/25
174,,,4,Donec posuere metus vitae ipsum.,6/21/25
175,,,3,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,6/25/25
176,,,3,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,5/31/24
177,,,1,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",3/2/25
178,,,2,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,10/20/24
179,,,4,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,2/3/25
180,,,2,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,9/3/24
181,,,4,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",2/5/25
182,,,5,Etiam faucibus cursus urna. Ut tellus.,10/23/24
183,,,1,Integer a nibh. In quis justo.,11/18/24
184,,,2,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",6/29/25
185,,,2,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",5/12/25
186,,,4,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",10/11/24
187,,,5,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",3/5/25
188,,,1,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",3/25/25
189,,,2,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,5/12/25
190,,,1,Nulla mollis molestie lorem. Quisque ut erat.,2/4/25
191,,,5,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,10/2/24
192,,,5,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",5/22/25
193,,,4,In eleifend quam a odio. In hac habitasse platea dictumst.,6/23/24
194,,,3,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,5/22/24
195,,,2,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",6/18/24
196,,,1,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",7/28/25
197,,,5,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",3/14/25
198,,,1,Aenean sit amet justo. Morbi ut odio.,9/1/24
199,,,4,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,7/28/24
200,,,4,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",11/21/24
201,,,1,Ut tellus.,5/19/25
202,,,4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7/26/24
203,,,1,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",6/23/24
204,,,3,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",5/17/24
205,,,2,Etiam vel augue.,9/20/24
206,,,5,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",8/30/24
207,,,2,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",8/8/25
208,,,5,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",8/25/24
209,,,5,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",6/16/25
210,,,3,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,9/27/24
211,,,5,Ut tellus.,8/30/24
212,,,3,Sed ante.,9/30/24
213,,,5,Curabitur at ipsum ac tellus semper interdum.,10/3/24
214,,,4,Praesent id massa id nisl venenatis lacinia.,7/12/24
215,,,2,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",7/24/24
216,,,3,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,6/9/25
217,,,3,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",7/20/25
218,,,1,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,1/5/25
219,,,1,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",7/19/24
220,,,5,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,4/5/25
221,,,3,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,1/22/25
222,,,3,Proin eu mi.,1/8/25
